,,,,,,,,,,,,FLESHY-FRUITED PLANTS,,,,,,,,,,,,,,,,,,,,,,,,NECTAR,,NON FLESHY-FRUITED PLANTS,,,,,,
WAYPOINT,FOCALGROUP,TRANSECT,SITE,DBH,TOPOGRAPHY,HABITAT,%_GRASS,%_LITTER,%_MOSS,%_US,%_FF_US,CHETRI_#,CHETRI_%,COPSPP_#,COPSPP_%,ILEANO_#,ILEANO_%,LEPTAM_#,LEPTAM_%,MYRLES_#,MYRLES_%,PASMOL_#,PASMOL_%,PHYBRE_#,PHYBRE_%,CLELIN_#,CLELIN_%,MYOSAN_#,MYOSAN_%,RUBARG_#,RUBARG_%,RUBHAW_#,RUBHAW_%,VACSPP_#,VACSPP_%,MP_#,MP_%,AKOA_#,AKOA_%,TFERN_#,TFERN_%,FERN_#,FERN_%,NOTES
ST8S4AK2,AK,8,4,M,FLAT,REST,80,2,0,20,10,,,3,10,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
ST8S4AK1,AK,8,4,M,FLAT,REST,35,10,0,65,57,,,,25,,,,,3,20,,,,,,,,,,2,,10,,,,,,8,,,,,
ST8S5AK3,AK,8,5,L,FLAT,REST,90,0,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
ST8S5AK4,AK,8,5,S,FLAT,REST,46,15,0,54,30,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,2,,2,
ST8S6AK5,AK,8,6,M,FLAT,REST,65,5,0,35,5,,,,,,,,,,,,,,,,,,,,,,5,,,,,,28,,,,2,
ST8S7AK6,AK,8,7,M,FLAT,REST,95,10,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,Koa sukcers in stnd with other mature Koa
ST8S7AK7,AK,8,7,M,FLAT,REST,48,30,0,52,45,,,,,,,,,,,,,,,,,,,,,,40,,5,,2,,5,,,,,"Koa neer, some litter in plot"
ST8S4OP1,OP,8,4,NA,FLAT,REST,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST8S5OP2,OP,8,5,NA,FLAT,REST,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST8S6OP3,OP,8,6,NA,SLOPE,REST,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST8S7OP4,OP,8,7,NA,SLOPE,REST,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST8S8OP5,OP,8,8,NA,FLAT,FRAG,55,0,0,45,45,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,
ST8S4RK1,RK,8,4,L,FLAT,REST,69,5,0,31,15,,,,,,,,,,,,,,,,,,,,,,15,,,,15,,,,,,1,
ST8S5RK2,RK,8,5,M,FLAT,REST,90,8,0,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bent trunk, canpy not over stump"
ST8S9RK3,RK,8,9,S,FLAT,FRAG,5,5,0,25,15,,,,,,,,,,,,,,,,,,,,10,,5,,,,10,,,,,,,
ST8S10RK4,RK,8,10,M,FLAT,FRAG,35,35,0,85,75,,,,,,,,,,,,,,,,,,,,15,,60,,,,,,10,,,,,
ST8S4RO1,RO,8,4,L,FLAT,REST,90,0,0,10,5,,,,,,,,,,,,,,,,,,,,,,5,,,,5,,,,,,,"Canppy colse to Koa, actulay in site 5"
ST8S5RO2,RO,8,5,M,SLOPE,REST,80,0,0,20,10,,,,,,,,,,,,,,,,,,,,10,,,,,,5,,5,,,,,
ST8S7RO3,RO,8,7,S,FLAT,REST,92,0,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,2,
ST8S7RO4,RO,8,7,S,SLOPE,REST,35,10,1,65,10,,,,,,,,,,,,,,,,,,,,,,,,10,,2,,5,,,,48,"3% of furn is MF, rest DICLIN"
ST8S8RO5,RO,8,8,S,FLAT,FRAG,20,40,2,80,75,,,,,,,,4,,45,,,,,,,,,,3,,3,,20,,5,,,,,,,MORE RO WITH UNDERSTORY NEARBY; SIMILAR TO LOWER PEDRO
ST8S9RO6,RO,8,9,S,FLAT,FRAG,10,10,0,46,46,,5,,,,,,5,,7,,,,,,,,,,2,,,,25,,,,,,,,,ALL CHETRI IMMATURE
ST8S9RO7,RO,8,9,M,FLAT,FRAG,35,35,3,76,72,,10,,,,,,10,,,,,,,,,,,,,,2,,50,,4,,,,,,,FRUITING CHETRI (DEC-8-2016)
ST8S10RO8,RO,8,10,M,FLAT,FRAG,10,10,2,80,60,,20,,,,,,25,,7,,,,,,,,,,5,,,,30,,5,,4,,,,,FRUITING CHETRI (DEC-8-2016)
ST9S11AK1,AK,9,11,M,SLOPE,REST,55,0,0,45,40,3,,1,,,,,,4,,,,,,,,,,,,5,,,,1,,,,,,,,RESTation Koa with planted understory in Lower Pedro; similar sites are available around the area
ST9S12AK3,AK,9,12,S,FLAT,REST,80,3,0,20,11,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,,
ST9S12AK2,AK,9,12,M,SLOPE,REST,65,0,0,35,25,2,,x,,,,,,4,,,,,,,,,,,,5,,,,4,,,,,,,,All Ohia are small (<10m)
ST9S15AK4,AK,9,15,S,FLAT,FRAG,85,0,0,15,2,,,,,,,,,,,,,,,,,,,,,3,,,,,,x,,,,x,,
ST9S15OP1,OP,9,15,NA,FLAT,FRAG,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grass
ST9S16OP2,OP,9,16,NA,FLAT,FRAG,70,0,0,30,10,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,x,,Plot may be smaller than 10m in Diameter
ST9S16RK1,RK,9,16,S,FLAT,FRAG,60,1,0,30,25,,,,,,,2,,,,,,,,,,,,,,,,3,,,,x,,,,x,,Remnant Koa rammet; More remnant Koa nearby; around 20% cover pig disturbance
ST9S13RO2,RO,9,13,M,FLAT,FRAG,40,15,3,60,25,,,x,,,,1,,,,,,,,,,,,x,,,,2,,2,,,,,,,,Immature Coprosma
ST9S13RO1,RO,9,13,L,FLAT,FRAG,10,10,5,75,60,2,,x,,,,,30,,,,,,,,,,,,,,,,30,,30,,,,,,,Dense Halo; Large litter pool
ST9S14RO3,RO,9,14,L,FLAT,FRAG,30,10,2,70,50,4,,2,,,,,60,,,,,,,,,,,1,,,,,,,10,,,,,,,
ST9S15RO4,RO,9,15,L,FLAT,FRAG,70,2,0,30,25,1,,,,,,6,,,,,,,,,,,,,,,,x,,x,,,,,,x,,
ST9S15RO5,RO,9,15,L,FLAT,FRAG,30,10,1,70,50,1,,2,,1,,3,,,,,,,,,,,,,,,,7,,x,,,,x,,x,,
ST9S16RO7,RO,9,16,M,FLAT,FRAG,95,0,0,5,4,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,
