ident,Latitude,Longitude,y_proj,x_proj,depth,WAYPOINT,FOCALGROUP,NewHabType,HABITAT,TRANSECT,SITE,DBH,TOPOGRAPHY,%_GRASS,%_US,%_LITTER,%_MOSS,%_FFUS
ST9S15AK4,19.832007,-155.302706,2194535.828,258821.6053,1653.032471,ST9S15AK4,AK,Koa + Grass,FRAG,9,15,S,FLAT,85,15,0,0,2
T11S10AK6,19.848714,-155.314213,2196402.657,257639.7405,1759.151611,T11S10AK6,AK,Koa + Grass,REST,11,10,M,FLAT,95,0,5,0,0
T11S8AK1,19.847018,-155.318002,2196220.313,257240.1818,1797.924316,T11S8AK1,AK,Koa + Grass,REST,11,8,L,SLOPE,90,0,2,0,0
T11S8AK2,19.847139,-155.317602,2196233.135,257282.2749,1795.680664,T11S8AK2,AK,Koa + Grass,REST,11,8,L,SLOPE,90,0,2,0,0
T11S10AK5,19.847891,-155.313408,2196310.371,257722.8312,1761.606812,T11S10AK5,AK,Koa + Grass,REST,11,10,S,FLAT,95,5,0,0,0
ST11S12AK5,19.849926,-155.311564,2196532.647,257920.6342,1736.737549,ST11S12AK5,AK,Koa + Grass,REST,11,12,S,FLAT,95,5,0,0,3
ST8S7AK6,19.82051,-155.319922,2193287.488,257000.1892,1848.155762,ST8S7AK6,AK,Koa + Grass,REST,8,7,M,FLAT,95,5,10,0,0
T9S12AK7,19.832139,-155.308431,2194559.044,258220.4148,1699.421631,T9S12AK7,AK,Koa + Grass,REST,9,12,L,SLOPE,92,6,2,0,2
T9S12AK6,19.832467,-155.307638,2194594.227,258304.0031,1688.051758,T9S12AK6,AK,Koa + Grass,REST,9,12,L,FLAT,88,10,2,0,5
ST11S10AK1,19.848257,-155.314749,2196352.418,257584.4048,1757.563232,ST11S10AK1,AK,Koa + Grass,REST,11,10,M,FLAT,90,10,0,0,0
ST11S11AK4,19.849313,-155.312104,2196465.546,257863.1278,1746.240112,ST11S11AK4,AK,Koa + Grass,REST,11,11,S,FLAT,90,10,2,0,10
ST11S8AK7,19.846988,-155.318422,2196217.19,257197.6479,1795.840088,ST11S8AK7,AK,Koa + Grass,REST,11,8,M,FLAT,90,10,2,0,0
ST11S9AK8,19.847499,-155.316408,2196270.873,257409.4364,1784.453491,ST11S9AK8,AK,Koa + Grass,REST,11,9,M,FLAT,90,10,5,0,0
ST8S5AK3,19.820801,-155.323907,2193325.451,256583.0445,1912.743286,ST8S5AK3,AK,Koa + Grass,REST,8,5,L,FLAT,90,10,0,0,0
T9S12AK8,19.832138,-155.308722,2194559.35,258189.9219,1702.192993,T9S12AK8,AK,Koa + Grass,REST,9,12,L,SLOPE,83,15,2,0,6
ST11S11AK3,19.849364,-155.312469,2196471.717,257824.964,1749.419312,ST11S11AK3,AK,Koa + Grass,REST,11,11,M,FLAT,80,20,2,0,20
ST8S4AK2,19.821318,-155.325282,2193384.681,256439.7465,1914.368042,ST8S4AK2,AK,Koa + Grass,REST,8,4,M,FLAT,80,20,2,0,10
ST9S12AK3,19.832053,-155.308442,2194549.131,258220.6483,1696.017212,ST9S12AK3,AK,Koa + Grass,REST,9,12,S,FLAT,80,20,3,0,11
