,Kingdom,Phylum,Class,Order,Family,Genus,Species,Name
083f35e767b81a86009b36879fb941e5,Fungi,Glomeromycotina,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora_laevis,Acaulospora laevis
3dd100506a46ea43a31c9428fd884bb7,Fungi,Glomeromycotina,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora_laevis,Acaulospora laevis
69234d9c9142d755afe3b31225ade268,Fungi,Glomeromycotina,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora_laevis,Acaulospora laevis
6f97751332c135acd8d348a32e113053,Fungi,Glomeromycotina,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora_laevis,Acaulospora laevis
77d51857f709599867c93b3d47df6408,Fungi,Glomeromycotina,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora_laevis,Acaulospora laevis
930a310e54bcd66f203b59921bd49329,Fungi,Glomeromycotina,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora_laevis,Acaulospora laevis
ba45c587714f143536b04830b6df44a5,Fungi,Glomeromycotina,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora_laevis,Acaulospora laevis
bad96b23116c41c2e0ed0829dbffba5f,Fungi,Glomeromycotina,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora_laevis,Acaulospora laevis
be7f1b68220894574e488c13d18a43ff,Fungi,Glomeromycotina,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora_laevis,Acaulospora laevis
e308714d7de48c33e2e64c631b06f4b4,Fungi,Glomeromycotina,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora_laevis,Acaulospora laevis
1a198df314cfe54f5a7c545245aa89ed,Fungi,Glomeromycotina,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,Archaeospora_trappei,Archaeospora trappei
eb1bd5e8e100c15119ae1a10ea049a75,Fungi,Glomeromycotina,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,Archaeospora_trappei,Archaeospora trappei
f8db2108bef2a546a75f4023f819450a,Fungi,Glomeromycotina,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,Archaeospora_trappei,Archaeospora trappei
4c8cf497744afd1f87cee99f1a560258,Fungi,Glomeromycotina,Archaeosporomycetes,Archaeosporales,Archaeosporales_uncultured,Archaeosporales_uncultured,Archaeosporales_uncultured,Archaeosporales uncultured
918c02726f765295e93700b719c2a56c,Fungi,Glomeromycotina,Archaeosporomycetes,Archaeosporales,Archaeosporales_uncultured,Archaeosporales_uncultured,Archaeosporales_uncultured,Archaeosporales uncultured
a06e5450665e951d685871d945bb0415,Fungi,Glomeromycotina,Archaeosporomycetes,Archaeosporales,Geosiphonaceae,Geosiphon,Geosiphon_pyriformis,Geosiphon pyriformis
e738c67d690aa3563491d1f5150d356f,Fungi,Glomeromycotina,Archaeosporomycetes,Archaeosporales,Geosiphonaceae,Geosiphon,Geosiphon_pyriformis,Geosiphon pyriformis
08cbffaa877bad2b533f70f2ed9074e8,Fungi,Glomeromycotina,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,Gigaspora_gigantea,Gigaspora gigantea
8c1081bd49a46ffb86ec03ab6f570ffc,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomeraceae_uncultured,Glomeraceae_uncultured,Glomeraceae uncultured
f3c761eb79866ca17e408b6fcab24cf2,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_caledonium,Glomus caledonium
60cfe11eeedec09fbfd0a53dab25f5e8,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_mosseae,Glomus mosseae
bdade670e3f29d48f0ab98ace0c2dd61,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_mosseae,Glomus mosseae
e37c5ebe4bf90b2d65f930a29d43aadf,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_mosseae,Glomus mosseae
ff47e95a308f4d4637ebbbe7653900d1,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_mosseae,Glomus mosseae
02677b5f33184ccb226b44b381a7c6fd,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
053b658fff83402dbd5877afe42999e5,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
12ad77f38549caf46aa5694e610cb95a,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
19348f553c2b546f06a60ed08d9383f3,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
1ab9e552b83cdaaf4e943c6e6b792e34,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
1e0b03beb2e6c2f6f5d63ac4a731ec04,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
22deac49a22c7204cd89674c546bf168,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
23fc31d1b68f9731846d3a0bd3b6834b,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
2573e4309be1108aa4cb54db3bf75fd0,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
259cdc8b3842bcbd18c17bdc0e8aaa20,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
2b34bbc47c6f2fe9c1dff4b840cf1199,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
2cce7f8b1cb396870bf3c723c70803c4,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
329214f013ddcca11f955a2ad2bec1ac,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
3347375204c5507fcafd8fd31e0a6331,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
348360b4efd4f90ac91f687368921ac0,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
3c89abc24f81b573d3df7ee0a7d1f54f,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
4569628b493117adf6f5aa05b76a75a4,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
46d584a82f22da258a684d5d8a396c0a,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
47ac38d4df7f0f5e391f8dd6604fc4e3,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
4d2b5912cf6a24e90e9b32b18a01f042,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
557ebc9a341f06bfd9c88c4df285d2ca,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
5b777d5c0acd83a17c87e329985b528e,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
605d9633ce443466acc4eb45a2c39ccf,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
60feb894081b7a022c3301ab162443a7,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
62d39d0062c3edbf82ab8233915a1d8e,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
65d13bc87c548fd4778a01ac56e8f4a0,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
67ba0a1fb3083460ecd9fa95be0ad77f,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
6849705084f3b1cacb3c3d0edbd522b1,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
6c76dfcf241d8b373eae2bdf045a01fe,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
70935e37319c3e8fa0c4900553e81c65,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
7195810555e460477d51ac1515ef4587,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
7a646a5600d23f1a515a6f13960d82b5,Fungi,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_uncultured,Glomus uncultured
